# TO BE USED TO INSERT MODEL ANNOTATIONS IN METABOLIC ATLAS DATABASE
# for GENES ONLY
# annotations will be visible in the GEM browser pages and some can be used by the search engine
#
# some rules:
# this is a TAB separated file, thus TABs are not allowed in any field values
# each line added must have exactly 7 columns to be parsed properly
# do not modify the @ line
# column 'id' is mandatory, other columns are optional
# follow the max size limits
#
# columns description:
# column name        | description
# ---------------------------------------------
# name               | primary name/symbol of the gene
# alternate_name     | long name or full name of the gene
# aliases            | list of aliases, semi-colon separated values
# function           | text about the function, can describe multiple functions
# ec                 | EC code, semi-colon separated values
# catalytic_activity | text about the catalytic activity
#
@id	name	alternate_name	aliases	function	ec	catalytic_activity
ENSG00000100889	PCK2	phosphoenolpyruvate carboxykinase 2, mitochondrial	PEPCK; PEPCK2			
ENSG00000100938	GMPR2	guanosine monophosphate reductase 2				
ENSG00000100979	PLTP	phospholipid transfer protein	BPIFE			
ENSG00000100983	GSS	glutathione synthetase				
ENSG00000100994	PYGB	glycogen phosphorylase B				
ENSG00000100997	ABHD12	abhydrolase domain containing 12	ABHD12A; BEM46L2; C20orf22; dJ965G21.2; DKFZP434P106			
ENSG00000101049	SGK2	SGK2, serine/threonine kinase 2				
ENSG00000101109	STK4	serine/threonine kinase 4	KRS2; MST1; YSK3			
ENSG00000101160	CTSZ	cathepsin Z	CTSX			
ENSG00000101187	SLCO4A1	solute carrier organic anion transporter family member 4A1	OATP-E; OATP4A1; SLC21A12			
ENSG00000101210	EEF1A2	eukaryotic translation elongation factor 1 alpha 2	EEF1AL; HS1; STN; STNL			
ENSG00000101213	PTK6	protein tyrosine kinase 6	BRK			
ENSG00000101224	CDC25B	cell division cycle 25B				
ENSG00000101247	NDUFAF5	NADH:ubiquinone oxidoreductase complex assembly factor 5	C20orf7; dJ842G6.1			
ENSG00000101255	TRIB3	tribbles pseudokinase 3	C20orf97; dJ1103G7.3; TRB3			
ENSG00000101266	CSNK2A1	casein kinase 2 alpha 1	Cka1; Cka2			
ENSG00000101276	SLC52A3	solute carrier family 52 member 3	bA371L19.1; C20orf54; hRFT2; RFVT3			
ENSG00000101290	CDS2	CDP-diacylglycerol synthase 2				
ENSG00000101306	MYLK2	myosin light chain kinase 2	KMLC; MLCK2; skMLCK			
ENSG00000101323	HAO1	hydroxyacid oxidase 1	GOX; GOX1			
ENSG00000101333	PLCB4	phospholipase C beta 4				
ENSG00000101336	HCK	HCK proto-oncogene, Src family tyrosine kinase	JTK9			
ENSG00000101349	PAK5	p21 (RAC1) activated kinase 5	KIAA1264; PAK7			
ENSG00000101365	IDH3B	isocitrate dehydrogenase 3 (NAD(+)) beta	RP46			
ENSG00000101438	SLC32A1	solute carrier family 32 member 1	bA122O1.1; VGAT; VIAAT			
ENSG00000101444	AHCY	adenosylhomocysteinase	SAHH			
ENSG00000101464	PIGU	phosphatidylinositol glycan anchor biosynthesis class U	bA346K17.2; CDC91L1; GAB1			
ENSG00000101473	ACOT8	acyl-CoA thioesterase 8	hACTE-III; hTE; NAP1; PTE-2; PTE1			
ENSG00000101557	USP14	ubiquitin specific peptidase 14	TGT			
ENSG00000101558	VAPA	VAMP associated protein A	hVAP-33; VAP-A			
ENSG00000101574	METTL4	methyltransferase like 4	FLJ23017; HsT661			
ENSG00000101577	LPIN2	lipin 2	KIAA0249			
ENSG00000101638	ST8SIA5	ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 5	SIAT8E			
ENSG00000101654	RNMT	RNA guanine-7 methyltransferase	RG7MT1			
ENSG00000101670	LIPG	lipase G, endothelial type	EDL			
ENSG00000101695	RNF125	ring finger protein 125	FLJ20456			
ENSG00000101751	POLI	DNA polymerase iota	RAD30B; RAD3OB			
ENSG00000101752	MIB1	mindbomb E3 ubiquitin protein ligase 1	DIP-1; KIAA1323; MIB; ZZANK2; ZZZ6			
ENSG00000101782	RIOK3	RIO kinase 3	SUDD			
ENSG00000101846	STS	steroid sulfatase	ARSC; ARSC1			
ENSG00000101849	TBL1X	transducin beta like 1 X-linked	EBI; TBL1			
ENSG00000101868	POLA1	DNA polymerase alpha 1, catalytic subunit	NSX; p180; POLA			
ENSG00000101871	MID1	midline 1	FXY; OS; RNF59; TRIM18			
ENSG00000101890	GUCY2F	guanylate cyclase 2F, retinal	CYGF; GC-F; GUC2DL; RetGC-2; ROS-GC2			
ENSG00000101892	ATP1B4	ATPase Na+/K+ transporting family member beta 4				
ENSG00000101901	ALG13	ALG13, UDP-N-acetylglucosaminyltransferase subunit	CDG1S; CXorf45; FLJ23018; GLT28D1; MDS031; TDRD13; YGL047W			
ENSG00000101911	PRPS2	phosphoribosyl pyrophosphate synthetase 2				
ENSG00000101945	SUV39H1	suppressor of variegation 3-9 homolog 1	KMT1A; SUV39H			
ENSG00000101974	ATP11C	ATPase phospholipid transporting 11C	ATPIG; ATPIQ			
ENSG00000101986	ABCD1	ATP binding cassette subfamily D member 1	adrenoleukodystrophy; ALD; ALDP; AMN			
ENSG00000102010	BMX	BMX non-receptor tyrosine kinase	ETK; PSCTK3			
ENSG00000102030	NAA10	N(alpha)-acetyltransferase 10, NatA catalytic subunit	ARD1; ARD1A; DXS707; TE2			
ENSG00000102032	RENBP	renin binding protein	RBP; RNBP			
ENSG00000102043	MTMR8	myotubularin related protein 8	FLJ20126			
ENSG00000102078	SLC25A14	solute carrier family 25 member 14	BMCP1; UCP5			
ENSG00000102096	PIM2	Pim-2 proto-oncogene, serine/threonine kinase				
ENSG00000102100	SLC35A2	solute carrier family 35 member A2	UGALT; UGAT; UGT; UGT1; UGT2; UGTL			
ENSG00000102125	TAZ	tafazzin	BTHS; CMD3A; EFE; EFE2; G4.5; TAZ1; XAP-2			
ENSG00000102144	PGK1	phosphoglycerate kinase 1				
ENSG00000102172	SMS	spermine synthase	MRSR; SPMSY; SpS; SRS			
ENSG00000102225	CDK16	cyclin dependent kinase 16	FLJ16665; PCTAIRE; PCTAIRE1; PCTGAIRE; PCTK1			
ENSG00000102226	USP11	ubiquitin specific peptidase 11	UHX1			
ENSG00000102230	PCYT1B	phosphate cytidylyltransferase 1, choline, beta	CCT-beta; CTB			
ENSG00000102309	PIN4	peptidylprolyl cis/trans isomerase, NIMA-interacting 4	EPVH; PAR14; PAR17			
ENSG00000102312	PORCN	porcupine O-acyltransferase	DHOF; MG61; por; PORC; PPN			
ENSG00000102383	ZDHHC15	zinc finger DHHC-type containing 15	DHHC15; FLJ31812; MRX91			
ENSG00000102393	GLA	galactosidase alpha	GALA			
ENSG00000102572	STK24	serine/threonine kinase 24	MST-3; MST3; MST3B; STE20; STK3			
ENSG00000102575	ACP5	acid phosphatase 5, tartrate resistant	HPAP; TRAP			
ENSG00000102595	UGGT2	UDP-glucose glycoprotein glucosyltransferase 2	FLJ10873; FLJ11485; HUGT2; MGC117360; MGC150689; MGC87276; UGCGL2			
ENSG00000102699	PARP4	poly(ADP-ribose) polymerase family member 4	ADPRTL1; p193; VAULT3; VPARP; VWA5C			
ENSG00000102743	SLC25A15	solute carrier family 25 member 15	D13S327; HHH; ORC1; ORNT1			
ENSG00000102755	FLT1	fms related tyrosine kinase 1	FLT; VEGFR1			
ENSG00000102780	DGKH	diacylglycerol kinase eta	DGKeta			
ENSG00000102858	MGRN1	mahogunin ring finger 1	KIAA0544; RNF156			
ENSG00000102882	MAPK3	mitogen-activated protein kinase 3	ERK1; p44erk1; p44mapk; PRKM3			
ENSG00000102893	PHKB	phosphorylase kinase regulatory subunit beta				
ENSG00000102900	NUP93	nucleoporin 93	KIAA0095			
ENSG00000102967	DHODH	dihydroorotate dehydrogenase (quinone)				
ENSG00000102978	POLR2C	RNA polymerase II subunit C	RPB3			
ENSG00000103024	NME3	NME/NM23 nucleoside diphosphate kinase 3	DR-nm23; NDPKC; NM23-H3			
ENSG00000103037	SETD6	SET domain containing 6	FLJ21148			
ENSG00000103044	HAS3	hyaluronan synthase 3				
ENSG00000103056	SMPD3	sphingomyelin phosphodiesterase 3	NSMASE2			
ENSG00000103064	SLC7A6	solute carrier family 7 member 6	KIAA0245; LAT-2; LAT3; y+LAT-2			
ENSG00000103066	PLA2G15	phospholipase A2 group XV	GXVPLA2; LLPL; LYPLA3			
ENSG00000103150	MLYCD	malonyl-CoA decarboxylase	hMCD; MCD			
ENSG00000103174	NAGPA	N-acetylglucosamine-1-phosphodiester alpha-N-acetylglucosaminidase	APAA; UCE			
ENSG00000103194	USP10	ubiquitin specific peptidase 10	KIAA0190; UBPO			
ENSG00000103202	NME4	NME/NM23 nucleoside diphosphate kinase 4	NDPKD; nm23-H4; NM23H4			
ENSG00000103222	ABCC1	ATP binding cassette subfamily C member 1	GS-X; MRP; MRP1			
ENSG00000103253	HAGHL	hydroxyacylglutathione hydrolase like	MGC2605			
ENSG00000103257	SLC7A5	solute carrier family 7 member 5	CD98; D16S469E; E16; LAT1; MPE16			
ENSG00000103266	STUB1	STIP1 homology and U-box containing protein 1	CHIP; HSPABP2; NY-CO-7; SDCCAG7; UBOX1			
ENSG00000103275	UBE2I	ubiquitin conjugating enzyme E2 I	UBC9			
ENSG00000103356	EARS2	glutamyl-tRNA synthetase 2, mitochondrial	KIAA1970; MSE1			
ENSG00000103375	AQP8	aquaporin 8				
ENSG00000103404	USP31	ubiquitin specific peptidase 31	KIAA1203			
ENSG00000103415	HMOX2	heme oxygenase 2	HO-2			
ENSG00000103485	QPRT	quinolinate phosphoribosyltransferase	QPRTase			
ENSG00000103489	XYLT1	xylosyltransferase 1	PXYLT1; XT-I			
ENSG00000103502	CDIPT	CDP-diacylglycerol--inositol 3-phosphatidyltransferase	PIS; PIS1			
ENSG00000103507	BCKDK	branched chain ketoacid dehydrogenase kinase				
ENSG00000103510	KAT8	lysine acetyltransferase 8	FLJ14040; hMOF; MOF; MYST1; ZC2HC8			
ENSG00000103546	SLC6A2	solute carrier family 6 member 2	NAT1; NET; NET1; SLC6A5			
ENSG00000103549	RNF40	ring finger protein 40	BRE1B; KIAA0661; RBP95; STARING			
ENSG00000103569	AQP9	aquaporin 9	HsT17287; SSC1			
ENSG00000103653	CSK	C-terminal Src kinase				
ENSG00000103657	HERC1	HECT and RLD domain containing E3 ubiquitin protein ligase family member 1	p532; p619			
ENSG00000103707	MTFMT	mitochondrial methionyl-tRNA formyltransferase	FMT1			
ENSG00000103740	ACSBG1	acyl-CoA synthetase bubblegum family member 1	BG1; BGM; FLJ30320; hBG1; hsBG; KIAA0631; MGC14352			
ENSG00000103811	CTSH	cathepsin H	ACC-4; ACC-5; ACC4; ACC5; CPSB			
ENSG00000103876	FAH	fumarylacetoacetate hydrolase				
ENSG00000104044	OCA2	OCA2 melanosomal transmembrane protein	BEY; BEY1; BEY2; D15S12; EYCL; EYCL2; EYCL3; P			
ENSG00000104055	TGM5	transglutaminase 5	TGMX; TGX			
ENSG00000104205	SGK3	serum/glucocorticoid regulated kinase family member 3	SGK2; SGKL			
ENSG00000104219	ZDHHC2	zinc finger DHHC-type containing 2	DHHC2; ZNF372			
ENSG00000104267	CA2	carbonic anhydrase 2	CA-II; CAII; Car2			
ENSG00000104312	RIPK2	receptor interacting serine/threonine kinase 2	CARD3; CARDIAK; RICK; RIP2			
ENSG00000104313	EYA1	EYA transcriptional coactivator and phosphatase 1	BOR			
ENSG00000104325	DECR1	2,4-dienoyl-CoA reductase 1	DECR; SDR18C1			
ENSG00000104331	IMPAD1	inositol monophosphatase domain containing 1	FLJ20421; gPAPP; IMPA3			
ENSG00000104343	UBE2W	ubiquitin conjugating enzyme E2 W	FLJ11011; UBC-16			
ENSG00000104365	IKBKB	inhibitor of nuclear factor kappa B kinase subunit beta	IKK-beta; IKK2; IKKB; NFKBIKB			
ENSG00000104375	STK3	serine/threonine kinase 3	KRS1; MST2			
ENSG00000104517	UBR5	ubiquitin protein ligase E3 component n-recognin 5	DD5; EDD; EDD1; HYD; KIAA0896			
ENSG00000104522	TSTA3	tissue specific transplantation antigen P35B	FX; P35B; SDR4E1			
ENSG00000104524	PYCR3	pyrroline-5-carboxylate reductase 3	FLJ13852; PYCRL			
ENSG00000104549	SQLE	squalene epoxidase				
ENSG00000104635	SLC39A14	solute carrier family 39 member 14	KIAA0062; NET34; ZIP14			
ENSG00000104687	GSR	glutathione-disulfide reductase				
ENSG00000104695	PPP2CB	protein phosphatase 2 catalytic subunit beta	PP2Abeta			
ENSG00000104723	TUSC3	tumor suppressor candidate 3	MagT2; MGC13453; MRT7; N33; OST3A			
ENSG00000104763	ASAH1	N-acylsphingosine amidohydrolase 1	AC; ACDase; ASAH; FLJ21558; PHP32			
ENSG00000104774	MAN2B1	mannosidase alpha class 2B member 1	LAMAN; MANB			
ENSG00000104808	DHDH	dihydrodiol dehydrogenase	HUM2DD			
ENSG00000104812	GYS1	glycogen synthase 1	GSY; GYS			
ENSG00000104814	MAP4K1	mitogen-activated protein kinase kinase kinase kinase 1	HPK1			
ENSG00000104823	ECH1	enoyl-CoA hydratase 1	HPXEL			
ENSG00000104879	CKM	creatine kinase, M-type	CKMM			
ENSG00000104885	DOT1L	DOT1 like histone lysine methyltransferase	DOT1; KIAA1814; KMT4			
ENSG00000104888	SLC17A7	solute carrier family 17 member 7	BNPI; VGLUT1			
ENSG00000104907	TRMT1	tRNA methyltransferase 1	FLJ20244; TRM1			
ENSG00000104936	DMPK	DM1 protein kinase	DM; DM1; DM1PK; DMK; MDPK; MT-PK			
ENSG00000104951	IL4I1	interleukin 4 induced 1	FIG1			
ENSG00000105053	VRK3	VRK serine/threonine kinase 3				
ENSG00000105143	SLC1A6	solute carrier family 1 member 6	EAAT4			
ENSG00000105146	AURKC	aurora kinase C	ARK3; AurC; STK13			
ENSG00000105198	LGALS13	galectin 13	PLAC8; PP13			
ENSG00000105202	FBL	fibrillarin	FIB; FLRN; Nop1; RNU3IP1			
ENSG00000105204	DYRK1B	dual specificity tyrosine phosphorylation regulated kinase 1B	MIRK			
ENSG00000105205	CLC	Charcot-Leyden crystal galectin	Gal-10; LGALS10; MGC149659			
ENSG00000105220	GPI	glucose-6-phosphate isomerase	AMF; NLK			
ENSG00000105221	AKT2	AKT serine/threonine kinase 2				
ENSG00000105223	PLD3	phospholipase D family member 3	HU-K4			
ENSG00000105254	TBCB	tubulin folding cofactor B	CG22; CKAP1; CKAPI			
ENSG00000105258	POLR2I	RNA polymerase II subunit I	hRPB14.5; RPB9			
ENSG00000105281	SLC1A5	solute carrier family 1 member 5	AAAT; ASCT2; M7V1; RDRC			
ENSG00000105287	PRKD2	protein kinase D2	DKFZP586E0820; HSPC187; PKD2			
ENSG00000105355	PLIN3	perilipin 3	M6PRBP1; PP17; TIP47			
ENSG00000105379	ETFB	electron transfer flavoprotein subunit beta				
ENSG00000105397	TYK2	tyrosine kinase 2	JTK1			
ENSG00000105398	SULT2A1	sulfotransferase family 2A member 1	DHEA-ST; STD			
ENSG00000105409	ATP1A3	ATPase Na+/K+ transporting subunit alpha 3	DYT12			
ENSG00000105426	PTPRS	protein tyrosine phosphatase, receptor type S				
ENSG00000105499	PLA2G4C	phospholipase A2 group IVC	cPLA2-gamma			
ENSG00000105509	HAS1	hyaluronan synthase 1	HAS			
ENSG00000105516	DBP	D-box binding PAR bZIP transcription factor	DABP			
ENSG00000105520	PLPPR2	phospholipid phosphatase related 2	LPPR2; PRG-4			
ENSG00000105552	BCAT2	branched chain amino acid transaminase 2	BCAM; BCT2			
ENSG00000105568	PPP2R1A	protein phosphatase 2 scaffold subunit Aalpha	PP2A-Aalpha; PP2AA; PR65A			
ENSG00000105607	GCDH	glutaryl-CoA dehydrogenase	ACAD5			
ENSG00000105613	MAST1	microtubule associated serine/threonine kinase 1	KIAA0973; SAST			
ENSG00000105618	PRPF31	pre-mRNA processing factor 31	hPrp31; NY-BR-99; PRP31; RP11; SNRNP61			
ENSG00000105639	JAK3	Janus kinase 3	JAK-3; JAK3_HUMAN; JAKL; L-JAK; LJAK			
ENSG00000105641	SLC5A5	solute carrier family 5 member 5	NIS			
ENSG00000105647	PIK3R2	phosphoinositide-3-kinase regulatory subunit 2	p85; P85B			
ENSG00000105650	PDE4C	phosphodiesterase 4C	DPDE1			
ENSG00000105655	ISYNA1	inositol-3-phosphate synthase 1	Ino1; INOS; IPS			
ENSG00000105669	COPE	coatomer protein complex subunit epsilon	epsilon-COP			
ENSG00000105675	ATP4A	ATPase H+/K+ transporting subunit alpha	ATP6A			
ENSG00000105679	GAPDHS	glyceraldehyde-3-phosphate dehydrogenase, spermatogenic	GAPD2; GAPDH-2; GAPDS			
ENSG00000105701	FKBP8	FK506 binding protein 8	FKBP38; FKBPr38			
ENSG00000105810	CDK6	cyclin dependent kinase 6	PLSTIRE			
ENSG00000105835	NAMPT	nicotinamide phosphoribosyltransferase	PBEF; PBEF1			
ENSG00000105851	PIK3CG	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit gamma				
ENSG00000105852	PON3	paraoxonase 3				
ENSG00000105854	PON2	paraoxonase 2				
ENSG00000105879	CBLL1	Cbl proto-oncogene like 1	FLJ23109; HAKAI; RNF188			
ENSG00000105929	ATP6V0A4	ATPase H+ transporting V0 subunit a4	a4; ATP6N1B; ATP6N2; RDRTA2; RTA1C; RTADR; Stv1; Vph1; VPP2			
ENSG00000105939	ZC3HAV1	zinc finger CCCH-type containing, antiviral 1	FLB6421; FLJ13288; MGC48898; PARP13; ZAP; ZC3H2; ZC3HDC2			
ENSG00000105953	OGDH	oxoglutarate dehydrogenase	E1k			
ENSG00000105976	MET	MET proto-oncogene, receptor tyrosine kinase	DFNB97; HGFR; RCCP2			
ENSG00000106049	HIBADH	3-hydroxyisobutyrate dehydrogenase	NS5ATP1			
ENSG00000106080	FKBP14	FK506 binding protein 14	FKBP22; FLJ20731			
ENSG00000106105	GARS	glycyl-tRNA synthetase	CMT2D; DSMAV; GlyRS; SMAD1			
ENSG00000106123	EPHB6	EPH receptor B6	HEP			
ENSG00000106258	CYP3A5	cytochrome P450 family 3 subfamily A member 5	CP35; P450PCN3; PCN3			
ENSG00000106278	PTPRZ1	protein tyrosine phosphatase, receptor type Z1	phosphacan; PTP18; PTPRZ; PTPZ; RPTPB			
ENSG00000106302	HYAL4	hyaluronidase 4				
ENSG00000106304	SPAM1	sperm adhesion molecule 1	HYAL5; PH-20; SPAG15			
ENSG00000106346	USP42	ubiquitin specific peptidase 42	FLJ12697			
ENSG00000106348	IMPDH1	inosine monophosphate dehydrogenase 1	LCA11; RP10; sWSS2608			
ENSG00000106384	MOGAT3	monoacylglycerol O-acyltransferase 3	DC7; DGAT2L2; MGAT3			
ENSG00000106392	C1GALT1	core 1 synthase, glycoprotein-N-acetylgalactosamine 3-beta-galactosyltransferase 1	C1GALT; T-synthase			
ENSG00000106397	PLOD3	procollagen-lysine,2-oxoglutarate 5-dioxygenase 3	LH3			
ENSG00000106459	NRF1	nuclear respiratory factor 1	ALPHA-PAL; EWG			
ENSG00000106462	EZH2	enhancer of zeste 2 polycomb repressive complex 2 subunit	ENX-1; EZH1; KMT6; KMT6A			
ENSG00000106605	BLVRA	biliverdin reductase A	BLVR			
ENSG00000106617	PRKAG2	protein kinase AMP-activated non-catalytic subunit gamma 2	AAKG; AAKG2; CMH6; H91620p; WPWS			
ENSG00000106628	POLD2	DNA polymerase delta 2, accessory subunit				
ENSG00000106633	GCK	glucokinase	HK4; MODY2			
ENSG00000106636	YKT6	YKT6 v-SNARE homolog				
ENSG00000106648	GALNTL5	polypeptide N-acetylgalactosaminyltransferase like 5	GalNAc-T5L; GALNT15			
ENSG00000106683	LIMK1	LIM domain kinase 1	LIMK			
ENSG00000106688	SLC1A1	solute carrier family 1 member 1	EAAC1; EAAT3			
ENSG00000106733	NMRK1	nicotinamide riboside kinase 1	bA235O14.2; C9orf95; FLJ20559; NRK1			
ENSG00000106799	TGFBR1	transforming growth factor beta receptor 1	ACVRLK4; ALK-5; ALK5; ESS1; MSSE; TBR-i; TBRI			
ENSG00000106853	PTGR1	prostaglandin reductase 1	LTB4DH; ZADH3			
ENSG00000106976	DNM1	dynamin 1	DNM			
ENSG00000106992	AK1	adenylate kinase 1				
ENSG00000107140	TESK1	testis associated actin remodelling kinase 1				
ENSG00000107159	CA9	carbonic anhydrase 9	CAIX; MN			
ENSG00000107165	TYRP1	tyrosinase related protein 1	b-PROTEIN; CAS2; CATB; GP75; OCA3; TRP; TYRP			
ENSG00000107242	PIP5K1B	phosphatidylinositol-4-phosphate 5-kinase type 1 beta	MSS4; STM7			
ENSG00000107317	PTGDS	prostaglandin D2 synthase	L-PGDS; PGDS			
ENSG00000107341	UBE2R2	ubiquitin conjugating enzyme E2 R2	CDC34B; FLJ20419; MGC10481; UBC3B			
ENSG00000107537	PHYH	phytanoyl-CoA 2-hydroxylase	PAHX; PHYH1; RD			
ENSG00000107611	CUBN	cubilin	gp280; IFCR; MGA1			
ENSG00000107614	TRDMT1	tRNA aspartic acid methyltransferase 1	DNMT2; RNMT1			
ENSG00000107643	MAPK8	mitogen-activated protein kinase 8	JNK; JNK1; PRKM8; SAPK1			
ENSG00000107669	ATE1	arginyltransferase 1				
ENSG00000107758	PPP3CB	protein phosphatase 3 catalytic subunit beta	CALNA2; CALNB; CNA2; PP2Bbeta			
ENSG00000107779	BMPR1A	bone morphogenetic protein receptor type 1A	ACVRLK3; ALK3; CD292			
ENSG00000107789	MINPP1	multiple inositol-polyphosphate phosphatase 1	MIPP			
ENSG00000107798	LIPA	lipase A, lysosomal acid type	CESD; LAL			
ENSG00000107819	SFXN3	sideroflexin 3	SFX3; SLC56A3			
ENSG00000107854	TNKS2	tankyrase 2	PARP-5b; PARP-5c; PARP5B; PARP5C; pART6; TANK2; TNKL			
ENSG00000107902	LHPP	phospholysine phosphohistidine inorganic pyrophosphate phosphatase	HDHD2B			
ENSG00000107951	MTPAP	mitochondrial poly(A) polymerase	FLJ10486; mtPAP; PAPD1; SPAX4; TENT6			
ENSG00000107954	NEURL1	neuralized E3 ubiquitin protein ligase 1	h-neu; neu-1; NEURL; RNF67			
ENSG00000107968	MAP3K8	mitogen-activated protein kinase kinase kinase 8	c-COT; COT; EST; ESTF; MEKK8; Tpl-2			
ENSG00000108106	UBE2S	ubiquitin conjugating enzyme E2 S	E2-EPF			
ENSG00000108179	PPIF	peptidylprolyl isomerase F	Cyp-D; hCyP3			
ENSG00000108242	CYP2C18	cytochrome P450 family 2 subfamily C member 18	CPCI; CYP2C; CYP2C17; P450IIC17			
ENSG00000108381	ASPA	aspartoacylase	ACY2; ASP			
ENSG00000108439	PNPO	pyridoxamine 5'-phosphate oxidase	PDXPO			
ENSG00000108443	RPS6KB1	ribosomal protein S6 kinase B1	p70(S6K)-alpha; PS6K; S6K; S6K1; STK14A			
ENSG00000108468	CBX1	chromobox 1	CBX; HP1-BETA; HP1Hs-beta; M31; MOD1			
ENSG00000108474	PIGL	phosphatidylinositol glycan anchor biosynthesis class L				
ENSG00000108479	GALK1	galactokinase 1	GALK			
ENSG00000108515	ENO3	enolase 3				
ENSG00000108523	RNF167	ring finger protein 167	DKFZP566H073			
ENSG00000108528	SLC25A11	solute carrier family 25 member 11	OGC; SLC20A4			
ENSG00000108559	NUP88	nucleoporin 88	MGC8530			
ENSG00000108576	SLC6A4	solute carrier family 6 member 4	5-HTT; HTT; OCD1; SERT1			
ENSG00000108592	FTSJ3	FtsJ RNA methyltransferase homolog 3	SPB1			
ENSG00000108602	ALDH3A1	aldehyde dehydrogenase 3 family member A1	ALDH3			
ENSG00000108773	KAT2A	lysine acetyltransferase 2A	GCN5; GCN5L2; PCAF-b			
ENSG00000108784	NAGLU	N-acetyl-alpha-glucosaminidase	NAG			
ENSG00000108786	HSD17B1	hydroxysteroid 17-beta dehydrogenase 1	EDH17B2; EDHB17; HSD17; MGC138140; SDR28C1			
ENSG00000108799	EZH1	enhancer of zeste 1 polycomb repressive complex 2 subunit	KIAA0388; KMT6B			
ENSG00000108813	DLX4	distal-less homeobox 4	BP1; DLX7; DLX8; DLX9			
ENSG00000108839	ALOX12	arachidonate 12-lipoxygenase, 12S type	12S-LOX			
ENSG00000108846	ABCC3	ATP binding cassette subfamily C member 3	cMOAT2; EST90757; MLP2; MOAT-D; MRP3			
ENSG00000108854	SMURF2	SMAD specific E3 ubiquitin protein ligase 2				
ENSG00000108861	DUSP3	dual specificity phosphatase 3	VHR			
ENSG00000108932	SLC16A6	solute carrier family 16 member 6	MCT6; MCT7			
ENSG00000108946	PRKAR1A	protein kinase cAMP-dependent type I regulatory subunit alpha	CNC1; PRKAR1; TSE1			
ENSG00000108984	MAP2K6	mitogen-activated protein kinase kinase 6	MAPKK6; MEK6; MKK6; PRKMK6; SAPKK3			
ENSG00000109065	NAT9	N-acetyltransferase 9 (putative)	DKFZP564C103			
ENSG00000109107	ALDOC	aldolase, fructose-bisphosphate C				
ENSG00000109181	UGT2B10	UDP glucuronosyltransferase family 2 member B10				
ENSG00000109189	USP46	ubiquitin specific peptidase 46	FLJ12552			
ENSG00000109193	SULT1E1	sulfotransferase family 1E member 1	EST; STE			
ENSG00000109323	MANBA	mannosidase beta				
ENSG00000109332	UBE2D3	ubiquitin conjugating enzyme E2 D3	UbcH5C			
ENSG00000109339	MAPK10	mitogen-activated protein kinase 10	JNK3; p493F12; p54bSAPK; PRKM10			
ENSG00000109390	NDUFC1	NADH:ubiquinone oxidoreductase subunit C1	KFYI			
ENSG00000109424	UCP1	uncoupling protein 1	SLC25A7; UCP			
ENSG00000109452	INPP4B	inositol polyphosphate-4-phosphatase type II B				
ENSG00000109576	AADAT	aminoadipate aminotransferase	KAT2; KATII; KYAT2			
ENSG00000109586	GALNT7	polypeptide N-acetylgalactosaminyltransferase 7	GALNAC-T7			
ENSG00000109610	SOD3	superoxide dismutase 3	EC-SOD			
ENSG00000109667	SLC2A9	solute carrier family 2 member 9	Glut9; GLUTX; URATv1			
ENSG00000109685	NSD2	nuclear receptor binding SET domain protein 2	KMT3G; MMSET; WHSC1			
ENSG00000109743	BST1	bone marrow stromal cell antigen 1	CD157			
ENSG00000109814	UGDH	UDP-glucose 6-dehydrogenase				
ENSG00000109854	HTATIP2	HIV-1 Tat interactive protein 2	CC3; FLJ26963; SDR44U1; TIP30			
ENSG00000109861	CTSC	cathepsin C	DPP1; PALS; PLS			
ENSG00000109929	SC5D	sterol-C5-desaturase	SC5DL			
ENSG00000109956	B3GAT1	beta-1,3-glucuronyltransferase 1	CD57; GlcAT-P; HNK-1; LEU7; NK-1			
ENSG00000110013	SIAE	sialic acid acetylesterase	CSE-C; LSE; MGC87009; YSG2			
ENSG00000110066	KMT5B	lysine methyltransferase 5B	CGI-85; SUV420H1			
ENSG00000110080	ST3GAL4	ST3 beta-galactoside alpha-2,3-sialyltransferase 4	CGS23; FLJ11867; NANTA3; SAT3; SIAT4; SIAT4C; STZ			
ENSG00000110090	CPT1A	carnitine palmitoyltransferase 1A	CPT1; CPT1-L; L-CPT1			
ENSG00000110107	PRPF19	pre-mRNA processing factor 19	hPSO4; NMP200; PRP19; PSO4; SNEV; UBOX4			
ENSG00000110195	FOLR1	folate receptor 1	FOLR			
ENSG00000110203	FOLR3	folate receptor 3	FR-G			
ENSG00000110243	APOA5	apolipoprotein A5	APOA-V; RAP3			
ENSG00000110245	APOC3	apolipoprotein C3				
ENSG00000110328	GALNT18	polypeptide N-acetylgalactosaminyltransferase 18	GalNAc-T18; GALNT15; GALNTL4; MGC71806			
ENSG00000110344	UBE4A	ubiquitination factor E4A	E4; KIAA0126; UBOX2; UFD2			
ENSG00000110395	CBL	Cbl proto-oncogene	c-Cbl; CBL2; RNF55			
ENSG00000110422	HIPK3	homeodomain interacting protein kinase 3	DYRK6; FIST3; PKY; YAK1			
ENSG00000110435	PDHX	pyruvate dehydrogenase complex component X	DLDBP; E3BP; OPDX; PDX1; proX			
